DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Aug1993,-1.1273,-0.89881,-0.9911,-0.63434,-0.45029,-0.59868,-0.87718,-1.20635,-1.33484,-1.60012,-1.3957,-1.40994,-1.41443,-1.37253,-0.96053,-1.10203,-1.15839,-1.18811,-1.24322,-1.33208,-1.49305,-1.58456,-1.48023,-1.42577,-1.46905,-1.4917,-1.52058,-1.5494,-1.59072,-1.35463,-1.28512,-1.40438,-1.49215,-1.62796,-1.50663,-1.54691,-1.54813,-1.56002,-1.6165,-1.6225,-1.46763,-1.5384,-1.66622,-1.61726,-1.41645,-1.01269,-0.99021,-0.87957
Sep1993,-0.54438,-0.99011,-1.05072,-1.19959,-0.83231,-0.67863,-0.80021,-1.01586,-1.30007,-1.37972,-1.63909,-1.44657,-1.46302,-1.4682,-1.42993,-1.02846,-1.16345,-1.20725,-1.23098,-1.28788,-1.37399,-1.52159,-1.61437,-1.50696,-1.44972,-1.49263,-1.51522,-1.54422,-1.57637,-1.62257,-1.38801,-1.31786,-1.42989,-1.51305,-1.65749,-1.53776,-1.57726,-1.57826,-1.59089,-1.64781,-1.65471,-1.49636,-1.56685,-1.68981,-1.63877,-1.43577,-1.03489,-1.01242
Oct1993,0.76896,0.30437,0.11885,0.05299,-0.2188,-0.22726,-0.24631,-0.40615,-0.64576,-0.94455,-1.12285,-1.39833,-1.19636,-1.23425,-1.24422,-1.21989,-0.84836,-0.98175,-1.0353,-1.06483,-1.11305,-1.20813,-1.36248,-1.46021,-1.35576,-1.30822,-1.35253,-1.37899,-1.40695,-1.44711,-1.5038,-1.28329,-1.21716,-1.32805,-1.40103,-1.53575,-1.42535,-1.47172,-1.47409,-1.48764,-1.54135,-1.5514,-1.40346,-1.47774,-1.60466,-1.56234,-1.36401,-0.95791
Nov1993,-0.14667,0.2576,-0.02943,-0.17075,-0.2293,-0.43916,-0.38383,-0.42821,-0.57222,-0.77059,-1.05038,-1.22065,-1.46464,-1.27651,-1.3084,-1.31655,-1.29273,-0.93516,-1.06981,-1.11378,-1.14187,-1.18985,-1.28347,-1.41341,-1.51445,-1.43277,-1.39129,-1.43199,-1.45802,-1.48654,-1.5162,-1.55492,-1.34704,-1.29059,-1.40009,-1.48892,-1.65794,-1.53291,-1.57354,-1.57602,-1.58334,-1.63547,-1.64731,-1.48832,-1.55962,-1.68341,-1.63384,-1.44414
Dec1993,-1.35711,-1.17993,-0.76342,-0.91353,-1.00065,-1.03738,-1.20542,-1.06873,-0.99185,-1.05318,-1.23916,-1.41709,-1.53326,-1.72436,-1.53273,-1.5493,-1.55461,-1.52994,-1.19094,-1.30002,-1.32197,-1.33586,-1.39647,-1.46678,-1.56969,-1.69438,-1.63856,-1.58921,-1.62187,-1.64382,-1.67524,-1.68998,-1.70981,-1.52026,-1.46011,-1.54195,-1.62754,-1.80229,-1.67749,-1.70983,-1.71155,-1.71751,-1.76718,-1.76777,-1.61897,-1.68321,-1.80312,-1.74543
Jan1994,0.13381,-0.9061,-0.94044,-0.65402,-0.79602,-0.87251,-0.90827,-1.04097,-0.94413,-0.88169,-0.95309,-1.13085,-1.31907,-1.49369,-1.71605,-1.53926,-1.56994,-1.5811,-1.55923,-1.18529,-1.30123,-1.32794,-1.34546,-1.41205,-1.48254,-1.59519,-1.72056,-1.66227,-1.61387,-1.64305,-1.66163,-1.70675,-1.71774,-1.74054,-1.53905,-1.46968,-1.5505,-1.63284,-1.78646,-1.67089,-1.70521,-1.70554,-1.71297,-1.75818,-1.76543,-1.62054,-1.68452,-1.80733
Feb1994,0.70377,0.37558,-0.47984,-0.58471,-0.35956,-0.49049,-0.56573,-0.60743,-0.70654,-0.66452,-0.65212,-0.74073,-0.87202,-1.06508,-1.25259,-1.484,-1.31193,-1.35053,-1.36236,-1.34431,-0.9917,-1.11279,-1.15962,-1.1853,-1.23532,-1.32352,-1.44262,-1.55983,-1.49837,-1.45565,-1.4871,-1.5063,-1.54153,-1.56279,-1.59713,-1.40121,-1.3341,-1.42919,-1.52109,-1.66112,-1.5513,-1.58962,-1.59207,-1.6003,-1.64386,-1.66198,-1.52605,-1.58872
Mar1994,-1.65964,-0.40149,-0.37835,-0.95462,-0.98865,-0.79308,-0.90016,-0.95565,-0.9827,-1.07259,-1.01034,-0.96382,-1.02231,-1.14984,-1.31079,-1.43679,-1.61047,-1.45591,-1.48352,-1.49191,-1.47519,-1.1675,-1.26271,-1.29382,-1.30644,-1.35748,-1.43289,-1.53767,-1.65497,-1.58797,-1.5396,-1.56659,-1.58486,-1.61811,-1.63447,-1.66416,-1.4861,-1.4244,-1.51079,-1.59088,-1.72269,-1.62763,-1.66179,-1.66295,-1.67055,-1.71252,-1.72663,-1.59591
Apr1994,-0.11018,-1.20249,-0.51326,-0.48637,-1.0225,-1.04593,-0.87759,-0.97751,-1.02961,-1.05466,-1.13478,-1.06614,-1.02355,-1.05972,-1.18355,-1.3312,-1.46991,-1.65757,-1.49606,-1.51696,-1.52423,-1.50467,-1.1976,-1.2901,-1.31727,-1.32537,-1.36964,-1.44431,-1.53822,-1.65674,-1.59188,-1.54305,-1.56774,-1.58355,-1.61467,-1.62972,-1.66277,-1.48861,-1.43001,-1.50859,-1.58054,-1.70767,-1.60974,-1.64248,-1.64388,-1.65179,-1.69262,-1.70738
May1994,-0.82916,-0.64742,-1.35654,-0.79957,-0.70465,-1.13358,-1.14965,-0.99819,-1.074,-1.1165,-1.13622,-1.20442,-1.1482,-1.10545,-1.13097,-1.2489,-1.37727,-1.50947,-1.69583,-1.54458,-1.57029,-1.57912,-1.56145,-1.26431,-1.35304,-1.37614,-1.38134,-1.42255,-1.49491,-1.58831,-1.71992,-1.65605,-1.60089,-1.62425,-1.64036,-1.67309,-1.68542,-1.71438,-1.54192,-1.48142,-1.55162,-1.61349,-1.73936,-1.64448,-1.67494,-1.6755,-1.68282,-1.7225
Jun1994,-1.38398,-1.34057,-1.07586,-1.56767,-1.02057,-0.93291,-1.28742,-1.2956,-1.14633,-1.20792,-1.24458,-1.25477,-1.31853,-1.25782,-1.20566,-1.22222,-1.33773,-1.4609,-1.60685,-1.78392,-1.62195,-1.63687,-1.64409,-1.62349,-1.33116,-1.41757,-1.43388,-1.4334,-1.47226,-1.53902,-1.62559,-1.73784,-1.6795,-1.62518,-1.6479,-1.66365,-1.6941,-1.70457,-1.73039,-1.56481,-1.50556,-1.57619,-1.63774,-1.76019,-1.6659,-1.69794,-1.699,-1.70724
Jul1994,-1.31858,-1.5421,-1.50022,-1.24842,-1.66341,-1.11918,-1.01208,-1.33216,-1.33628,-1.19559,-1.25005,-1.28425,-1.29159,-1.34939,-1.28884,-1.23378,-1.24762,-1.35974,-1.47885,-1.62279,-1.79324,-1.63768,-1.6515,-1.65745,-1.63742,-1.35309,-1.43563,-1.44999,-1.44783,-1.48556,-1.55171,-1.63737,-1.74524,-1.68862,-1.63527,-1.65707,-1.67184,-1.70223,-1.71182,-1.73766,-1.57366,-1.51541,-1.58574,-1.64537,-1.76451,-1.67136,-1.70276,-1.70404
Aug1994,-2.37008,-1.89155,-1.74321,-1.71474,-1.44196,-1.78643,-1.26093,-1.12909,-1.40717,-1.39662,-1.26805,-1.31554,-1.3468,-1.35021,-1.40198,-1.34258,-1.28508,-1.2945,-1.40427,-1.51947,-1.65901,-1.82639,-1.67983,-1.69374,-1.69826,-1.67718,-1.40128,-1.47954,-1.48749,-1.48671,-1.52158,-1.58373,-1.67234,-1.77914,-1.72319,-1.66919,-1.69024,-1.70423,-1.73541,-1.7438,-1.76575,-1.60295,-1.54614,-1.6156,-1.67352,-1.79117,-1.70016,-1.73109
