"clu_pop","month","event","mean","sd","se","variable"
"Camarate",6,"ref",0.318011216828231,0.0250967394918616,0.00627418487296541,"myndvisp"
"Camarate",7,"2005",0.2395229390681,NA,NA,"myndvisp"
"Camarate",7,"2012",0.269002996254682,NA,NA,"myndvisp"
"Camarate",7,"ref",0.28331408054369,0.0233385663535615,0.00583464158839037,"myndvisp"
"Camarate",8,"2005",0.216388070175439,NA,NA,"myndvisp"
"Camarate",8,"2012",0.23724170212766,NA,NA,"myndvisp"
"Camarate",8,"ref",0.254307852974661,0.0187678848238304,0.00469197120595759,"myndvisp"
"Camarate",9,"2005",0.207144239631336,NA,NA,"myndvisp"
"Camarate",9,"2012",0.237627748691099,NA,NA,"myndvisp"
"Camarate",9,"ref",0.237864259614939,0.0167751379956314,0.00419378449890786,"myndvisp"
"Camarate",10,"2005",0.195717012448133,NA,NA,"myndvisp"
"Camarate",10,"2012",0.253226691729323,NA,NA,"myndvisp"
"Camarate",10,"ref",0.224499511569477,0.0163129318474767,0.00407823296186917,"myndvisp"
"Camarate",11,"2005",0.170785546875,NA,NA,"myndvisp"
"Camarate",11,"2012",0.191267479674797,NA,NA,"myndvisp"
"Camarate",11,"ref",0.196988206490557,0.0161006801772612,0.0040251700443153,"myndvisp"
"Camarate",12,"2005",0.1711171875,NA,NA,"myndvisp"
"Camarate",12,"2012",0.176238671875,NA,NA,"myndvisp"
"Camarate",12,"ref",0.185779928156745,0.0162343391324904,0.0040585847831226,"myndvisp"
"Northern slope",1,"2005",0.164932459247425,0.0433038547383928,0.0216519273691964,"myndvisp"
"Northern slope",1,"2012",0.165295687037148,0.0246559715320372,0.0123279857660186,"myndvisp"
"Northern slope",1,"ref",0.150856676346286,0.0361784501624263,0.00467061783235574,"myndvisp"
"Northern slope",2,"2005",0.16145191495627,0.0335826296847084,0.0167913148423542,"myndvisp"
"Northern slope",2,"2012",0.154354731472916,0.0313665804575513,0.0156832902287756,"myndvisp"
"Northern slope",2,"ref",0.157229700892078,0.0450526529921559,0.00563158162401949,"myndvisp"
"Northern slope",3,"2005",0.135414036450372,0.0283179940418495,0.0141589970209248,"myndvisp"
"Northern slope",3,"2012",0.189096278069756,0.0311368720273217,0.0155684360136609,"myndvisp"
"Northern slope",3,"ref",0.171693322270894,0.0373555563457956,0.00466944454322444,"myndvisp"
"Northern slope",4,"2005",0.211339803245553,0.0325901507153955,0.0162950753576977,"myndvisp"
"Northern slope",4,"2012",0.190267396136122,0.0214148897552468,0.0107074448776234,"myndvisp"
"Northern slope",4,"ref",0.221153390330627,0.035286072639469,0.00441075907993362,"myndvisp"
"Northern slope",5,"2005",0.249146803511931,0.022280647211004,0.011140323605502,"myndvisp"
"Northern slope",5,"2012",0.280840432774437,0.0225069056063502,0.0112534528031751,"myndvisp"
"Northern slope",5,"ref",0.279184563367475,0.0381908610923835,0.00477385763654794,"myndvisp"
"Northern slope",6,"2005",0.24690571863667,0.0225278901629764,0.0112639450814882,"myndvisp"
"Northern slope",6,"2012",0.306085642591733,0.0178701761814957,0.00893508809074786,"myndvisp"
"Northern slope",6,"ref",0.307181172161361,0.0297459589690052,0.00371824487112565,"myndvisp"
"Northern slope",7,"2005",0.210186239688982,0.0320865546314549,0.0160432773157274,"myndvisp"
"Northern slope",7,"2012",0.267539439106623,0.0198739942932476,0.00993699714662378,"myndvisp"
"Northern slope",7,"ref",0.273734148733199,0.0290822957650052,0.00363528697062565,"myndvisp"
"Northern slope",8,"2005",0.205117859366243,0.0233879384328263,0.0116939692164131,"myndvisp"
"Northern slope",8,"2012",0.225274793547955,0.0204526504467468,0.0102263252233734,"myndvisp"
"Northern slope",8,"ref",0.243926215544161,0.0287370347967398,0.00359212934959247,"myndvisp"
"Northern slope",9,"2005",0.205942315601066,0.0365883047532518,0.0182941523766259,"myndvisp"
"Northern slope",9,"2012",0.217671609534941,0.0362633480220095,0.0181316740110047,"myndvisp"
"Northern slope",9,"ref",0.231519700366336,0.0301141612326999,0.00376427015408748,"myndvisp"
"Northern slope",10,"2005",0.191540183718928,0.0381381137423886,0.0190690568711943,"myndvisp"
"Northern slope",10,"2012",0.250267696918466,0.0322581792544541,0.0161290896272271,"myndvisp"
"Northern slope",10,"ref",0.225454133340751,0.0368411757784722,0.00460514697230902,"myndvisp"
"Northern slope",11,"2005",0.154909634489635,0.0375190001000357,0.0187595000500179,"myndvisp"
"Northern slope",11,"2012",0.190759519303423,0.0279660080133117,0.0139830040066558,"myndvisp"
"Northern slope",11,"ref",0.197508192433951,0.0385263172064468,0.00481578965080585,"myndvisp"
"Northern slope",12,"2005",0.14804313218735,0.0365937262764586,0.0182968631382293,"myndvisp"
"Northern slope",12,"2012",0.165835614150342,0.0360857509115069,0.0180428754557534,"myndvisp"
"Northern slope",12,"ref",0.170605515551787,0.0386911934319166,0.00483639917898958,"myndvisp"
"Southern slope",1,"2005",0.275701661897767,0.0010575594229547,0.000610582217526924,"myndvisp"
"Southern slope",1,"2012",0.243057512843683,0.0103380037419643,0.00596864924330644,"myndvisp"
"Southern slope",1,"ref",0.248237929968469,0.0167156627325844,0.00249182387726791,"myndvisp"
"Southern slope",2,"2005",0.224908483126302,0.00730363047312264,0.00421675301971891,"myndvisp"
"Southern slope",2,"2012",0.229662358277176,0.014001967376836,0.00808403963420063,"myndvisp"
"Southern slope",2,"ref",0.232865969122646,0.0231571712853691,0.00334244976881952,"myndvisp"
"Southern slope",3,"2005",0.214505871215119,0.0276181902263923,0.0159453695617379,"myndvisp"
"Southern slope",3,"2012",0.215371569325222,0.00720290927657445,0.00415860160977871,"myndvisp"
"Southern slope",3,"ref",0.229758450987168,0.0176995657705263,0.00255471226553822,"myndvisp"
"Southern slope",4,"2005",0.228435234423917,0.00812710302927597,0.0046921851216843,"myndvisp"
"Southern slope",4,"2012",0.219385662740882,0.0085325048751118,0.00492624398650759,"myndvisp"
"Southern slope",4,"ref",0.246763623748381,0.0234552018878285,0.0033854667809587,"myndvisp"
"Southern slope",5,"2005",0.302503158439075,0.0072248564220892,0.0041712728001496,"myndvisp"
"Southern slope",5,"2012",0.304335149276167,0.00719154087085569,0.00415203805767673,"myndvisp"
"Southern slope",5,"ref",0.310214440522532,0.0249581394646768,0.00360239713460085,"myndvisp"
"Southern slope",6,"2005",0.311171834358156,0.0124785319588845,0.0072044837855533,"myndvisp"
"Southern slope",6,"2012",0.329684020255811,0.0186297421787735,0.0107558866618482,"myndvisp"
"Southern slope",6,"ref",0.338365593467705,0.01931549608296,0.00278795171575703,"myndvisp"
"Southern slope",7,"2005",0.291729436233577,0.0106119495053164,0.00612681190352115,"myndvisp"
"Southern slope",7,"2012",0.301880104885368,0.020026962726295,0.011562572321077,"myndvisp"
"Southern slope",7,"ref",0.32091266203442,0.0234058480253133,0.00337834316450653,"myndvisp"
"Southern slope",8,"2005",0.271958544638244,0.00832961214511146,0.00480910381422528,"myndvisp"
"Southern slope",8,"2012",0.268604446795707,0.015746903767627,0.00909147912914259,"myndvisp"
"Southern slope",8,"ref",0.300086566213749,0.0198634648571876,0.00286704419558398,"myndvisp"
"Southern slope",9,"2005",0.262973956566517,0.0126398673438868,0.00729763081351421,"myndvisp"
"Southern slope",9,"2012",0.26685926390507,0.0189833647101531,0.0109600507255318,"myndvisp"
"Southern slope",9,"ref",0.289237526736058,0.0177670502346515,0.00256445280892042,"myndvisp"
"Southern slope",10,"2005",0.264988584153768,0.00817916569499469,0.00472224351575174,"myndvisp"
"Southern slope",10,"2012",0.304081531778648,0.0414702009172139,0.0239428316629013,"myndvisp"
"Southern slope",10,"ref",0.287400102354878,0.0178226432154781,0.00257247696453174,"myndvisp"
"Southern slope",11,"2005",0.257088561509576,0.011711209011748,0.00676146967546866,"myndvisp"
"Southern slope",11,"2012",0.276552046532906,0.000670738471127008,0.000387251036861016,"myndvisp"
"Southern slope",11,"ref",0.276943191885853,0.0145188078399788,0.00209560940368106,"myndvisp"
"Southern slope",12,"2005",0.257475345350373,0.00382938921105366,0.00221089889183368,"myndvisp"
"Southern slope",12,"2012",0.248727800322301,0.00774451588009202,0.00447129832811446,"myndvisp"
"Southern slope",12,"ref",0.260269981318419,0.0176443514986662,0.00254674277185782,"myndvisp"
